3761	EXPENSE	142.41	2025-06-09	Coffee Shops - June 2025	f	\N	pending		\N	\N	Starbucks	\N	f	\N	\N	2025-06-05 18:03:20.679201-05	2025-06-05 18:03:20.679203-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	15
3735	EXPENSE	88.50	2025-06-09	Groceries - June 2025	f	\N	pending		\N	\N	Walmart	\N	f	\N	\N	2025-06-05 18:03:20.678662-05	2025-06-05 18:03:20.678664-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	12
4640	EXPENSE	97.50	2024-06-10	Gasto Bars 6-3	f	CURR763	reconciled		Gasto de prueba Bars	Chicago	McDonalds	Paypal	f	\N	\N	2025-06-06 08:10:07.738965-05	2025-06-06 08:10:07.738969-05	2025-06-06 08:10:07.738859-05	\N	f	\N	\N	\N	\N	1	1	7	1	8	74
4723	EXPENSE	411.79	2024-06-18	Gasto Fast Food 6-2	f	CURR3742	pending		Gasto de prueba Fast Food	Los Angeles	McDonalds	Cash	f	\N	\N	2025-06-06 08:10:07.961449-05	2025-06-06 08:10:07.961457-05	\N	\N	f	\N	\N	\N	\N	1	1	8	1	9	74
4439	EXPENSE	404.41	2025-09-06	Transacción de ejemplo 9-7	f	BANKTXN97	confirmed		Nota de ejemplo 9-7	Chicago	McDonalds	Bank Transfer	t	monthly	2025-10-06	2025-06-06 08:10:07.127292-05	2025-06-06 08:10:07.127298-05	\N	\N	f	0.76	AI nota 9-7	\N	\N	1	1	9	1	7	74
4482	EXPENSE	162.77	2024-06-24	Gasto Utilities 6-1	f	CURR311	pending		Gasto de prueba Utilities	Los Angeles	McDonalds	Credit Card	f	\N	\N	2025-06-06 08:10:07.259691-05	2025-06-06 08:10:07.259698-05	\N	\N	f	\N	\N	\N	\N	1	1	8	1	7	74
4484	EXPENSE	47.34	2024-06-21	Gasto Utilities 6-3	f	CURR313	confirmed		Gasto de prueba Utilities	Chicago	McDonalds	Debit Card	f	\N	\N	2025-06-06 08:10:07.26595-05	2025-06-06 08:10:07.265956-05	\N	\N	f	\N	\N	\N	\N	1	1	7	1	8	74
4536	EXPENSE	112.47	2024-06-17	Gasto Utilities 6-1	f	CURR2111	confirmed		Gasto de prueba Utilities	Los Angeles	McDonalds	Debit Card	f	\N	\N	2025-06-06 08:10:07.462875-05	2025-06-06 08:10:07.462882-05	\N	\N	f	\N	\N	\N	\N	1	1	7	1	9	74
3775	EXPENSE	395.32	2025-11-08	Bars - November 2025	f	\N	pending		\N	\N	Heineken	\N	f	\N	\N	2025-06-05 18:03:20.679494-05	2025-06-05 18:03:20.679496-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	16
3776	EXPENSE	297.38	2025-03-02	Bars - March 2025	f	\N	pending		\N	\N	Heineken	\N	f	\N	\N	2025-06-05 18:03:20.679515-05	2025-06-05 18:03:20.679517-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	16
3762	EXPENSE	263.53	2025-07-25	Coffee Shops - July 2025	f	\N	pending		\N	\N	Starbucks	\N	f	\N	\N	2025-06-05 18:03:20.679221-05	2025-06-05 18:03:20.679223-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	15
3739	EXPENSE	242.87	2025-03-15	Restaurants - March 2025	f	\N	pending		\N	\N	McDonalds	\N	f	\N	\N	2025-06-05 18:03:20.678747-05	2025-06-05 18:03:20.678748-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	74
3740	EXPENSE	240.48	2025-01-17	Restaurants - January 2025	f	\N	pending		\N	\N	McDonalds	\N	f	\N	\N	2025-06-05 18:03:20.678768-05	2025-06-05 18:03:20.67877-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	74
3937	EXPENSE	249.25	2025-10-28	Utilities - October 2025	f	\N	pending		\N	\N	Iberdrola	\N	f	\N	\N	2025-06-05 18:03:20.682985-05	2025-06-05 18:03:20.682987-05	\N	\N	f	\N	\N	\N	\N	391	1	\N	1	\N	\N
3938	EXPENSE	80.30	2025-05-12	Utilities - May 2025	f	\N	pending		\N	\N	Iberdrola	\N	f	\N	\N	2025-06-05 18:03:20.683007-05	2025-06-05 18:03:20.683008-05	\N	\N	f	\N	\N	\N	\N	391	1	\N	1	\N	\N
3939	EXPENSE	401.22	2025-04-15	Utilities - April 2025	f	\N	pending		\N	\N	Iberdrola	\N	f	\N	\N	2025-06-05 18:03:20.683027-05	2025-06-05 18:03:20.683029-05	\N	\N	f	\N	\N	\N	\N	391	1	\N	1	\N	\N
3940	EXPENSE	224.44	2025-12-18	Utilities - December 2025	f	\N	pending		\N	\N	Iberdrola	\N	f	\N	\N	2025-06-05 18:03:20.683048-05	2025-06-05 18:03:20.68305-05	\N	\N	f	\N	\N	\N	\N	391	1	\N	1	\N	\N
3749	EXPENSE	135.39	2025-05-01	Fast Food - May 2025	f	\N	pending		\N	\N	Burger King	\N	f	\N	\N	2025-06-05 18:03:20.678953-05	2025-06-05 18:03:20.678954-05	\N	\N	f	\N	\N	\N	\N	1	1	\N	1	\N	74
4420	EXPENSE	506.35	2025-07-03	Transacción de ejemplo 7-8	t	BANKTXN78	reconciled		Nota de ejemplo 7-8	Los Angeles	Walmart	Debit Card	f		\N	2025-06-06 08:10:07.073628-05	2025-06-06 08:10:07.073631-05	2025-06-06 08:10:07.073557-05	\N	t	0.53	AI nota 7-8	\N	\N	1	1	7	1	7	12
